day,TIME,faces,sex,age
2021-11-27 18:23:50,0,1,0,2
2021-11-27 18:23:56,0,1,1,2
2021-11-27 18:24:02,0,2,2,1
2021-11-27 18:24:08,0,2,2,2
2021-11-27 18:24:18,0,1,0,2
2021-11-27 18:24:22,0,1,1,2
2021-11-27 18:24:27,0,1,1,1
2021-11-27 18:24:33,0,3,2,1
2021-11-27 18:24:38,0,1,1,2
2021-11-27 18:24:41,0,1,1,2
2021-11-27 18:24:45,0,1,0,2
2021-11-27 18:24:49,0,1,1,2
2021-11-27 18:24:53,0,1,1,2
